id,pid,company,email,bd_manager,team,channel,l0,seller_tier,account_status,risk_tier,wfs_adoption,wmc_adoption,brand_adoption,cq_meet,pl_score,call_priority,launch_date,phone_number_1,sf_phone,first_sale,blocker,notes,next_action_date,next_action,contacted,last_contact,attempt_count,created_at,updated_at
884,10003077014,dongguanshixiangpeikejiyouxiangongsi,865919191@qq.com,Leeom Zheng,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,12/24/2025,13714761215,13714761215,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
885,10003079612,guangzhoujiayingdianzichanpinyouxiangongsi,jiaying2512@outlook.com,Fammy Wen,T1,Outbound,FCHW,Base,ACTIVE,,1,0,1,0,2,Tier1,12/30/2025,13924192052,13924192052,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
886,10003059663,shanxijinlongwenhuachuanboyouxiangongsi,jinlongwenhua1@163.com,Yao Li,T2,Outbound,HOME,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,12/5/2025,17629228997,17629228997,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
887,10003109733,Hong Kong Doudou Trading Limited,wmbolvdo@163.com,Renee Luo,T1,Outbound,HOME,Growth,ACTIVE,Low Risk,1,1,0,0,2,Tier1,2/11/2026,70764377,70764377,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
888,10003100334,yongkangshilanerbomaoyiyouxiangongsi,walmart_bs1@163.com,Ella Chen,T2,Outbound,HOME,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,2/2/2026,17605897702,17605897702,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
889,10003109081,BOSRII (Hong Kong) LIMITED,bosriiwm@163.com,Roy Sun,T1,Outbound,HOME,Growth,ACTIVE,Low Risk,1,1,0,0,2,Tier1,2/2/2026,18596861921,18596861921,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
890,10003114358,zhengzhouhuituowangluokejiyouxiangongsi,huituowangluo@163.com,Yao Li,T2,Outbound,HOME,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,2/25/2026,15737493726,15737493726,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
891,10003101437,shanghaixunchengmaoyiyouxiangongsi,xuncheng2009@foxmail.com,Vanko Chen,T2,Outbound,HOME,Base,ACTIVE,Low Risk,1,0,1,0,2,Tier1,2/4/2026,18521095109,18521095109,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
892,10003105344,zhengzhouxinmotewangluokejiyouxiangongsi,yrl45678910@outlook.com,Eleven Yao,T2,Outbound,APPAREL,Base,ACTIVE,Low Risk,0,1,1,0,2,Tier1,2/4/2026,17760756357,17760756357,No,,,2026-04-30,,Yes,2026-04-21,1,2026-04-23 01:43:16,2026-04-23 01:43:16
893,10003064806,Joy Information Technology (HK) Limited,xyu_us@163.com,Lynn He,T2,Outbound,ETS,Growth,ACTIVE,Low Risk,1,1,0,0,2,Tier1,2/4/2026,13826052607,13826052607,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
894,10003065596,hubeisiboteqixingkejiyouxiangongsi,hubeisibote2023@163.com,Jessica Wang,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,2/5/2026,13048898987,13048898987,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
895,10003107474,shenzhenshifanhuakejiyouxiangongsi,fanhua2025@sina.com,April Li,Inbound,Inbound,ETS,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,2/6/2026,13049341228,13049341228,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
896,10003111435,Sanco (HK) Import Export Company Limited,chengfenghk@bezgar.com,Cynthia Wang,T1,Outbound,ETS,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,2/9/2026,13829402333,13829402333,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
897,10003123484,yiwushinianhudianzishangwuyouxiangongsi,nianhuwem@hotmail.com,Panpan Li,T2,Outbound,FCHW,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,3/10/2026,18162095018,18162095018,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
898,10003098175,hangzhoulongshanjinchukoumaoyiyouxiangongsi,voameen@163.com,Ella Chen,T2,Outbound,HARDLINES,Base,ACTIVE,,1,1,0,0,2,Tier1,3/12/2026,18957918986,18957918986,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
899,10003128774,shanghaibeiqinkejiyouxiangongsi,beiqinwalmart@163.com,Darren Yang,T1,Outbound,HARDLINES,Base,ACTIVE,,0,1,1,0,2,Tier1,3/13/2026,17717292987,17717292987,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
900,10003124027,shenzhenshilianmeiyuanyikejiyouxiangongsi,lianmeius@163.com,Leeom Zheng,T2,Outbound,HARDLINES,Base,ACTIVE,,0,1,1,0,2,Tier1,3/16/2026,15914185262,15914185262,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
901,10003121304,LARGE CORPORATION LIMITED,xzf20251206@outlook.com,Renee Luo,T1,Outbound,HOME,Base,ACTIVE,Low Risk,1,1,0,0,2,Tier1,3/3/2026,15386370003,15386370003,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
902,10003123492,shanghailingguanshangmaoyouxiangongsi,cikowaa@163.com,Luyao Shang,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,0,1,1,0,2,Tier1,3/5/2026,17301796713,17301796713,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
903,10002572593,guang zhou wei man kang ti she bei you xian gong si,daveyspa@outlook.com,Toby Tan,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,0,1,1,0,2,Tier1,8/2/2024,13600058764,13600058764,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
904,10003085946,foshanjinsewujiangfushiyouxiangongsi,jswjwalmart@outlook.com,Lilia Li,T2,Outbound,APPAREL,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/11/2026,18677443448,18677443448,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
905,10003085560,shenzhenshichuangyuanhuitongkejiyouxiangongsi,chuangyuan6098@outlook.com,Darren Yang,T1,Outbound,HOME,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/12/2026,19574989752,19574989752,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
906,10003082410,shenzhenkelamengzhubaoyouxiangongsi,502204792@qq.com,Grace Ge,Inbound,Inbound,APPAREL,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/12/2026,18820971526,18820971526,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
907,10003098629,"Shenzhen Nuosimei Technology Co., Ltd.",creativetrees@outlook.com,Lynn He,T2,Outbound,ETS,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/13/2026,17376759975,17376759975,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
908,10003084338,"Hong Kong Xihang Trading Co., Limited",xihangshangmaohome@163.com,Darren Yang,T1,Outbound,HOME,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/13/2026,19227594313,19227594313,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
909,10003100393,shenzhenshicaiyekuajingdianshangyouxiangongsi,376172289@qq.com,Kairo Huang,Inbound,Inbound,HARDLINES,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/14/2026,13827444729,13827444729,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
910,10003100767,shenzhenshimadiankejiyouxiangongsi,madotltd@hotmail.com,Kay Feng,T1,Outbound,HARDLINES,Growth,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/14/2026,13243840453,13243840453,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
911,10003079318,hefeichuangzhishangmaoyouxiangongsi,18755151160@163.com,Vanko Chen,T2,Outbound,HOME,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/14/2026,18755151160,18755151160,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
912,10003098325,qinghaikeshimaoyiyouxiangongsi,13378692357@163.com,Fermi Chen,T1,Outbound,HOME,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/14/2026,13378692357,13378692357,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
913,10003098066,Vibrant Horizon Global Trade Limited,vibrant.walmart@reithmail.com,Toby Tan,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/15/2026,13038588169,13038588169,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
914,10003086260,hongkongwisdomfuturecompanylimited,15382919644@163.com,Luna Ding,T1,Outbound,ETS,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/15/2026,13825826000,13825826000,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
915,10003066553,dongguanshiqixinzhaomingyouxiangongsi,qixin_wm@jesled.com,Kay Feng,T1,Outbound,HARDLINES,Growth,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/16/2026,19902457969,19902457969,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
916,10003065719,shenzhenshimeizijiudianzishangwuyouxiangongsi,skiuws63s@163.com,Suzie Liu,T2,Outbound,ETS,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/16/2026,19924580259,19924580259,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
917,10003082325,taizhoushixiaoqiandaidianzishangwuyouxiangongsi,xqdstraps@163.com,Vanko Chen,T2,Outbound,HOME,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/16/2026,18205262164,18205262164,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
918,10003082466,AHOUR INTERNATIONAL LIMITED,lpahouradv@outlook.com,Amber Zhu,T2,Outbound,APPAREL,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/16/2026,46664737,46664737,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
919,10003101046,shenzhenshiyirongxinguangdianyouxiangongsi,749827034@qq.com,Lilia Li,T2,Outbound,HOME,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/17/2026,13926539275,13926539275,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
920,10003082407,quanzhoujindingmaoyiyouxiangongsi,walmartjdtrade@163.com,Kunming Liu,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/17/2026,13805994189,13805994189,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
921,10003101024,Gadele Network Technology Limited,jiadele00002@163.com,Ivy Fu,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/19/2026,18925151075,18925151075,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
922,10003101356,ningboyoumiguojimaoyiyouxiangongsi,18574406000@163.com,Austen Wang,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/19/2026,13373891118,13373891118,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
923,10003099358,guangzhouchemoshangmaoyouxiangongsi,cm13126471908@outlook.com,Kay Feng,T1,Outbound,HARDLINES,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/19/2026,13126471908,13126471908,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
924,10003099454,jichuangjiqiren(zhuhai)youxiangongsi,jcrobort@163.com,Frank Liu,T2,Outbound,HARDLINES,Base,ACTIVE,,1,0,0,1,2,Tier2,1/19/2026,17748567073,17748567073,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
925,10003079999,Jingfeng Horizon Limited,beifenghu6@outlook.com,Panpan Li,T2,Outbound,HOME,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/20/2026,15150650105,15150650105,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
926,10003083313,hubeishengbochenxiangkejiyouxiangongsi,wfscw163@163.com,Brandon Yao,T1,Outbound,FCHW,Growth,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/20/2026,15173513417,15173513417,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
927,10003097794,shenzhenshiruishengxingwangmaoyiyouxiangongsi,a13790406827@outlook.com,Panpan Li,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/20/2026,13790406827,13790406827,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
928,10003100988,shenzhenminimeizifushiyouxiangongsi,mini7778@163.com,KK Zhong,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/21/2026,13530281842,13530281842,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
929,10003080636,AOGER INTERNATIONAL LIMITED,1368628101@qq.com,Ella Chen,T2,Outbound,FCHW,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/21/2026,18925289719,18925289719,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
930,10003080061,yongkangshixingyudianzishangwuyouxiangongsi,xingyultd0117@126.com,Bobby Li,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/21/2026,18805895173,18805895173,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
931,10003098773,wujixianfengruishangmaoyouxiangongsi,fengrui202407@163.com,Yao Li,T2,Outbound,HOME,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/21/2026,13903115839,13903115839,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
932,10003080542,jinhuashinayisijinchukouyouxiangongsi,869582865@qq.com,Zoe Zhao,T1,Outbound,HARDLINES,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/22/2026,13095889022,13095889022,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
933,10003082322,Skyguard Insight Trading Limited,linganzhiyan14@outlook.com,Cassie Guan,T1,Outbound,FCHW,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/22/2026,34264990,34264990,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
934,10003101439,taizhoushihuangyanyihuidianzishangwuyouxiangongsi,yihuiwmt@163.com,Yao Li,T2,Outbound,HOME,Base,ACTIVE,,1,0,0,1,2,Tier2,1/22/2026,13819612582,13819612582,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
935,10003100796,shaoxingliulianjiafangyouxiangongsi,support@nihaomarket.com,Darren Yang,T1,Outbound,HARDLINES,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/23/2026,13735287372,13735287372,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
936,10003077696,"TDS TECHNOLOGY (HONGKONG) CO.,LIMITED",vsales01@tdsmart.com.cn,Henry Xue,T1,Outbound,ETS,Growth,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/23/2026,13316545307,13316545307,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
937,10003103566,velarntechnologylimited,wangwendan15@outlook.com,Henry Xue,T1,Outbound,HOME,Growth,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/23/2026,13356159554,13356159554,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
938,10002985002,weifangshixinxinmaoyiyouxiangongsi,ebay_xinxin01@163.com,Yao Li,T2,Outbound,HOME,Base,ACTIVE,,0,0,1,1,2,Tier2,1/23/2026,15610256316,15610256316,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
939,10003100347,guangzhoumeikeguojimaoyiyouxiangongsi,walmart-us@urintellscuising.com,Eve Li,T1,Outbound,HOME,Growth,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/26/2026,16602062690,16602062690,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
940,10003104054,nanjingwutaxiwangluokejiyouxiangongsi,3654871978@qq.com,Philippe Wang,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/26/2026,18655385837,18655385837,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
941,10003103403,"Shangyi Trading (Hong Kong) Co., Limited",hkshangyishangmao@163.com,Darren Yang,T1,Outbound,HOME,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/27/2026,13055137691,13055137691,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
942,10003079035,youdianye(guangzhou)kejiyouxiangongsi,ydywmusa2025@outlook.com,Suzie Liu,T2,Outbound,ETS,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/27/2026,18903067044,18903067044,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
943,10003081139,JUN XIE (HONG KONG) ELECTRONIC COMPANY LIMITED,lehaisha@jump-lan.com,Luna Ding,T1,Outbound,ETS,Growth,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/27/2026,18666213681,18666213681,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
944,10003107378,nangongshikaierpicaoyouxiangongsi,kaierfur@163.com,Fammy Wen,T1,Outbound,APPAREL,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/27/2026,19030688988,19030688988,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
945,10003102637,hefeihaituokuajingdianzishangwuyouxiangongsi,fmulneh@163.com,Cindy Li,T2,Outbound,FCHW,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/28/2026,18856993938,18856993938,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
946,10003104064,KEENSTONE LIMITED,cshkkeenstone@outlook.com,Darren Yang,T1,Outbound,HARDLINES,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/28/2026,18124540226,18124540226,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
947,10003079632,Junrong Glory World Trade Limited,362926636@qq.com,Jason Yu,T1,Outbound,FCHW,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/29/2026,15110308773,15110308773,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
948,10003056511,fuzhouyimeiwenhuachuangyiyouxiangongsi,11525361@qq.com,Bobby Li,T2,Outbound,HOME,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/29/2026,18065165536,18065165536,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
949,10003107345,quanzhoushiqilixiangwangluokejiyouxiangongsi,qilixiangwar@outlook.com,Luna Ding,T1,Outbound,ETS,Growth,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/29/2026,19326439334,19326439334,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
950,10003101435,hangzhoulingdongdianzishangwuyouxiangongsi,lingdongwm2026@163.com,Darren Yang,T1,Outbound,HOME,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/30/2026,18306171662,18306171662,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
951,10003106328,guangdongaihuashixiangbaojituanyouxiangongsi,oiwastravel@gmail.com,Linda Liao,T1,Outbound,APPAREL,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/30/2026,13413130227,13413130227,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
952,10003098192,quanzhousangpugongyipinyouxiangongsi,sale19@union-fast.cn,Amber Zhu,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/30/2026,17750703607,17750703607,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
953,10003108519,nanjingqinzhiwenhuachuanmeiyouxiangongsi,wal.qinzhi@gmail.com,Ivy Fu,T2,Outbound,HARDLINES,Base,ACTIVE,,0,0,1,1,2,Tier2,1/30/2026,17366104110,17366104110,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
954,10003100352,"HONGKONG Airfish Technology Co., Limited",airfish007@outlook.com,Austen Wang,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/31/2026,15927588042,15927588042,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
955,10003071136,zhongshanjingzunshengdingshuijingzhipinyouxiangongsi,maxwell4588@foxmail.com,Toby Tan,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/31/2026,13128949691,13128949691,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
956,10003080170,shenzhenshihaohuiyakejiyouxiangongsi,16620818476@163.com,Jackie Li,T2,Outbound,HOME,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/4/2026,18565656105,18565656105,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
957,10003079572,"BEAYONG TECHNOLOGY CO., LIMITED",liwanwalmart@163.com,Angel Xu,T1,Outbound,ETS,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/5/2026,18666529220,18666529220,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
958,10003079968,qingdaofankanuozhoudianzishangwuyouxiangongsi,fankaqd-eb@hotmail.com,Lily Liu,T1,Outbound,HARDLINES,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/5/2026,13105120829,13105120829,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
959,10003076524,"DongguanChaobeiElectronicTechnology Co., Ltd.",chaobeikeji@outlook.com,Lynn He,T2,Outbound,ETS,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/6/2026,18944753788,18944753788,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
960,10003080224,shantouxuechuntradingcoltd,xuechunwm@163.com,Lynn He,T2,Outbound,ETS,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/6/2026,13433848957,13433848957,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
961,10003083264,shenzhenshiyurongdedianzishangwuyouxiangongsi,vivianyang9898@outlook.com,Matt Qin,T2,Outbound,HARDLINES,Base,ACTIVE,Medium Risk,0,0,1,1,2,Tier2,1/7/2026,18702625135,18702625135,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
962,10003070496,hongkongyuufeitradinglimited,xwplaf21ftf@163.com,Ella Chen,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/7/2026,13544279071,13544279071,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
963,10003082888,zhuhaiyizhoukejiyouxiangongsi,seateak@126.com,Amber Zhu,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/8/2026,13680305760,13680305760,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
964,10003082907,guangzhouchaoyueweilaigongyinglianyouxiangongsi,weilai202512@163.com,Eleven Yao,T2,Outbound,APPAREL,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/8/2026,17701949629,17701949629,No,,,2026-04-30,,Yes,2026-04-21,1,2026-04-23 01:43:16,2026-04-23 01:43:16
965,10003086230,xuzhousanshengsangnashebeiyouxiangongsi,sale6heliussauna@gmail.com,Toby Tan,T2,Outbound,HARDLINES,Base,ACTIVE,Low Risk,0,0,1,1,2,Tier2,1/8/2026,13866167015,13866167015,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
966,10003078596,MeiHan Technology Limited,walmeihan@info.intoliveltd.com,Jane Liu,T1,Outbound,APPAREL,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/8/2026,19357113990,19357113990,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
967,10003083598,foshanshilitajiajuyouxiangongsi,lita667@163.com,Jackie Li,T2,Outbound,HOME,Base,ACTIVE,Low Risk,1,0,0,1,2,Tier2,1/9/2026,13530281842,13530281842,,,,,,,,0,2026-04-23 01:43:16,2026-04-23 01:43:16
